tconst	averageRating	numVotes
tt0120589	7.3	30
tt0265705	4.0	62
tt0400871	7.6	59
tt0781524	5.6	34
tt0933054	7.0	7
tt10011306	6.9	772
tt10011314	6.7	990
tt10014534	7.4	61
tt10028812	7.0	60
tt10035194	7.4	140
tt10045002	9.4	563
tt10047904	7.1	241
tt10050740	6.3	142
tt10054946	9.0	716
tt10062046	4.3	187
tt10064134	5.0	38
tt10071606	9.3	84
tt10083340	7.0	51306
tt10090058	6.5	243
tt10108708	8.4	12
tt10126368	6.2	117
tt10131024	6.0	7490
tt10141678	8.0	6
tt10148150	8.8	15
tt10160886	4.5	1322
tt10164206	5.7	91
tt10188844	7.6	9
tt10189204	7.6	40
tt10196368	7.9	90
tt10198564	8.3	66
tt10198944	7.7	13
tt10223460	6.1	27332
tt10228976	6.7	15
tt10231726	6.0	44
tt10233388	8.4	93
tt1023464	2.8	301
tt10234990	5.0	102
tt10241772	5.8	1665
tt10242388	5.6	8548
tt10244600	8.3	17708
tt10250868	5.7	30
tt10254960	5.5	91
tt10270204	6.8	40
tt10270416	4.1	943
tt10273738	6.7	23
tt10283270	6.4	274
tt10288246	7.8	125
tt10290244	6.8	24
tt10293476	7.2	6
tt10295314	3.7	671
tt10298810	5.6	61045
tt10308878	3.3	869
tt10314040	4.1	341
tt10323676	5.8	16818
tt10328046	8.3	14
tt10332620	8.2	32
tt10338134	4.2	250
tt10340562	6.5	11821
tt10343028	6.8	196
tt10343124	3.5	103
tt10345950	6.0	23
tt10352594	4.7	23
tt10354106	5.5	160
tt10356564	4.3	274
tt10358566	7.4	8
tt10360808	6.4	105
tt10364034	7.5	19
tt10366168	7.1	569
tt10366418	8.6	13
tt10368758	7.6	86
tt10369638	8.2	7
tt10369964	4.4	108
tt10375094	7.9	2308
tt10375396	6.8	47
tt10393870	6.2	44305
tt10398318	4.7	943
tt10399608	6.6	187
tt10399966	8.4	13
tt10402396	6.4	30
tt10404910	6.2	8
tt10406466	6.7	40
tt10407144	8.2	18
tt10410506	6.3	119
tt10415020	4.1	32
tt10415494	8.4	1460
tt10418680	6.6	56
tt10426110	9.1	8
tt10426796	7.8	59
tt10430844	8.3	16
tt10445282	10.0	13
tt10466302	6.6	49
tt10474680	8.3	15
tt10474784	5.6	7
tt10481760	7.1	34
tt10483152	7.5	16
tt10488710	8.3	101
tt10489128	6.4	68
tt10503988	3.9	505
tt10509906	3.7	1416
tt10515720	5.4	47
tt10518732	5.1	102
tt10530838	6.1	563
tt10534520	8.0	10
tt10543530	6.6	81
tt10545696	5.8	667
tt10553086	8.8	65
tt10558652	5.5	6
tt10588504	7.6	25
tt10598156	4.3	11011
tt10608624	6.3	444
tt10610666	6.6	19
tt10611608	7.4	6611
tt10623646	7.2	2912
tt10631148	5.0	725
tt10638036	8.7	46465
tt10639624	4.2	23
tt10646310	9.2	16
tt10648342	6.8	149160
tt10650376	5.8	84
tt10651084	7.1	11
tt10651304	8.1	13
tt10673868	6.4	96
tt10674504	6.7	10
tt10676120	7.6	27
tt10680838	5.4	394
tt10687220	1.5	890
tt10692578	6.7	20
tt10692870	6.4	10
tt10698680	8.4	115116
tt10699086	5.5	34895
tt10701788	2.9	330
tt10709484	6.9	7302
tt10723416	7.3	1566
tt10731032	6.6	6009
tt10733228	6.1	42401
tt10737918	6.7	428
tt10738442	6.0	298
tt10740944	3.8	61
tt10752266	4.1	125
tt10758074	7.0	6631
tt10767876	3.2	102
tt10772364	6.2	10
tt10774460	6.9	1368
tt10779254	7.0	42
tt10789062	5.3	21
tt10789216	4.9	130
tt10793838	9.0	10
tt10793984	9.6	16
tt10802170	9.0	3401
tt10806040	6.0	18270
tt10809742	4.0	909
tt10811166	8.3	552003
tt10816062	8.7	9
tt10825320	8.1	89
tt10839454	5.9	74
tt10851466	7.0	26
tt10865174	6.7	46
tt10869834	9.4	10
tt10880158	7.2	14
tt10883172	7.8	13
tt10887736	3.5	88
tt10892194	5.1	9
tt10904808	3.5	204
tt10916810	7.4	16
tt10919304	5.1	790
tt10920562	8.9	9
tt10928372	8.8	9
tt10929458	6.4	23
tt10930046	8.6	7
tt10931784	6.1	165
tt10935540	9.5	11
tt10935560	5.0	1431
tt10935956	8.1	1756
tt10940736	6.5	136
tt10945232	5.2	65
tt10949008	6.4	49
tt10949028	5.7	698
tt10949122	7.5	8
tt10953232	9.4	36
tt10954984	7.5	22503
tt10963954	6.5	12
tt10964096	5.1	75
tt10975574	8.3	7221
tt10981012	6.9	2562
tt10984580	7.5	300
tt11000902	7.8	23243
tt11004566	3.4	152
tt11005128	4.3	199
tt11010074	4.2	460
tt11010888	4.3	1248
tt11012230	6.2	425
tt11013610	6.3	1216
tt11018264	7.2	69
tt11023422	8.8	17
tt11023732	7.7	2614
tt11023754	7.6	78
tt11023832	3.8	13
tt11040762	4.8	1419
tt11051862	4.9	18
tt11052678	6.8	62
tt11055882	5.9	2106
tt11092142	7.2	5814
tt11100764	8.9	19
tt11102198	6.2	55
tt11110938	5.4	91
tt11112784	5.8	4739
tt11116642	5.8	463
tt11120636	4.7	50
tt11127404	6.6	1342
tt11131400	5.9	94
tt11133202	6.5	1481
tt11136964	7.5	11
tt11137920	8.2	6
