tconst	averageRating	numVotes
tt0120589	7.3	30
tt0265705	4.0	62
tt10014534	7.4	61
tt10028812	7.0	60
tt10035194	7.4	140
tt10045002	9.4	563
tt10047904	7.1	241
tt10054946	9.0	716
tt10064134	5.0	38
tt10071606	9.3	84
tt10083340	7.0	51306
tt10090058	6.5	243
tt10126368	6.2	117
tt10131024	6.0	7490
tt10141678	8.0	6
tt10148150	8.8	15
tt10160886	4.5	1322
tt10164206	5.7	91
tt10196368	7.9	90
tt10198564	8.3	66
tt10223460	6.1	27332
tt10231726	6.0	44
tt10233388	8.4	93
tt1023464	2.8	301
tt10234990	5.0	102
tt10241772	5.8	1665
tt10242388	5.6	8548
tt10250868	5.7	30
tt10254960	5.5	91
tt10270204	6.8	40
tt10270416	4.1	943
tt10283270	6.4	274
tt10288246	7.8	125
tt10290244	6.8	24
tt10293476	7.2	6
tt10295314	3.7	671
tt10298810	5.6	61045
tt10308878	3.3	869
tt10314040	4.1	341
tt10323676	5.8	16818
tt10332620	8.2	32
tt10340562	6.5	11821
tt10343028	6.8	196
tt10343124	3.5	103
tt10352594	4.7	23
tt10354106	5.5	160
tt10356564	4.3	274
tt10358566	7.4	8
tt10360808	6.4	105
tt10366168	7.1	569
tt10366418	8.6	13
tt10368758	7.6	86
tt10369638	8.2	7
tt10369964	4.4	108
tt10375094	7.9	2308
tt10375396	6.8	47
tt10393870	6.2	44305
tt10398318	4.7	943
tt10399608	6.6	187
tt10402396	6.4	30
tt10404910	6.2	8
tt10406466	6.7	40
tt10407144	8.2	18
tt10410506	6.3	119
tt10415020	4.1	32
tt10415494	8.4	1460
tt10418680	6.6	56
tt10426110	9.1	8
tt10430844	8.3	16
tt10445282	10.0	13
tt10466302	6.6	49
tt10474784	5.6	7
tt10483152	7.5	16
tt10489128	6.4	68
tt10503988	3.9	505
tt10509906	3.7	1416
tt10515720	5.4	47
tt10518732	5.1	102
tt10530838	6.1	563
tt10543530	6.6	81
tt10545696	5.8	667
tt10553086	8.8	65
tt10558652	5.5	6
tt10588504	7.6	25
tt10598156	4.3	11011
tt10608624	6.3	444
tt10631148	5.0	725
tt10639624	4.2	23
tt10646310	9.2	16
tt10648342	6.8	149160
tt10650376	5.8	84
tt10651084	7.1	11
tt10651304	8.1	13
tt10673868	6.4	96
tt10674504	6.7	10
tt10680838	5.4	394
tt10687220	1.5	890
tt10692578	6.7	20
tt10692870	6.4	10
tt10698680	8.4	115116
tt10699086	5.5	34895
tt10701788	2.9	330
tt10709484	6.9	7302
tt10723416	7.3	1566
tt10733228	6.1	42401
tt10737918	6.7	428
tt10740944	3.8	61
tt10779254	7.0	42
tt10789062	5.3	21
tt10789216	4.9	130
tt10793838	9.0	10
tt10806040	6.0	18270
tt10809742	4.0	909
tt10811166	8.3	552003
tt10816062	8.7	9
tt10839454	5.9	74
tt10865174	6.7	46
tt10869834	9.4	10
tt10880158	7.2	14
tt10887736	3.5	88
tt10892194	5.1	9
tt10904808	3.5	204
tt10916810	7.4	16
tt10919304	5.1	790
tt10920562	8.9	9
tt10931784	6.1	165
tt10935540	9.5	11
tt10935560	5.0	1431
tt10935956	8.1	1756
tt10940736	6.5	136
tt10945232	5.2	65
tt10949008	6.4	49
tt10949028	5.7	698
tt10949122	7.5	8
tt10953232	9.4	36
tt10954984	7.5	22503
tt10963954	6.5	12
tt10964096	5.1	75
tt10981012	6.9	2562
tt10984580	7.5	300
tt11004566	3.4	152
tt11005128	4.3	199
tt11010074	4.2	460
tt11010888	4.3	1248
tt11013610	6.3	1216
tt11018264	7.2	69
tt11023732	7.7	2614
tt11023754	7.6	78
tt11023832	3.8	13
tt11040762	4.8	1419
tt11052678	6.8	62
tt11100764	8.9	19
tt11102198	6.2	55
tt11110938	5.4	91
tt11112784	5.8	4739
tt11116642	5.8	463
tt11127404	6.6	1342
tt11131400	5.9	94
tt11136964	7.5	11
tt11138512	7.2	152500
tt11138912	9.0	3208
tt11143304	8.8	46
tt11143444	4.7	197
tt11166308	3.3	141
tt11166732	8.7	8
tt11167448	7.6	32
tt11167918	6.6	9
tt11170782	6.9	12
tt11177150	5.5	129
tt11178402	7.5	13
tt11182810	4.4	578
tt11203022	5.3	2123
tt11225626	6.7	340
tt11242162	7.0	5006
tt11244558	4.8	260
tt11245972	6.3	99026
tt11246284	3.9	189
tt11251638	7.8	10
tt11252248	6.5	25470
tt11255186	2.8	25
tt11265320	4.3	1107
tt11269026	5.8	2706
tt11273058	5.1	109
tt11278476	7.1	7603
tt11278608	4.7	195
tt11286210	5.0	4441
tt11291274	7.1	61438
tt11295246	7.3	1579
tt11301946	5.2	30797
tt11306518	6.9	1968
tt11306896	9.4	1046
tt11310608	6.6	670
tt11316996	9.2	18
tt11318302	7.6	1160
tt11318364	7.8	397
tt11341742	7.9	539
tt11347146	6.8	846
tt11348232	2.6	4546
tt11353050	3.4	164
tt11355334	5.7	143
tt11362842	8.8	83
tt11364112	3.9	526
tt11365186	6.6	6229
tt11367378	4.8	81
tt11375428	8.1	11182
tt11375842	7.9	22
tt11379620	6.5	72
tt11379628	8.0	5
tt11379988	7.6	7712
tt11385554	6.1	11
tt11388504	7.3	93
tt11396226	8.0	3180
