tconst	averageRating	numVotes
tt0068646	9.2	1814613
tt0075148	8.1	566524
tt0075314	8.2	810977
tt0076759	8.6	1340819
tt0078748	8.5	863987
tt0084787	8.2	415604
tt0086190	8.3	1035760
tt0086250	8.3	821898
tt0093870	7.6	255635
tt0095016	8.2	864383
tt0099685	8.7	1134756
tt0103064	8.6	1079356
tt0107290	8.2	970874
tt0110357	8.5	1037568
tt0110912	8.9	2006668
tt0111161	9.3	2620256
tt0114369	8.6	1610280
tt0114709	8.3	976570
tt0116282	8.1	669856
tt0120382	8.2	1053328
tt0120689	8.6	1273291
tt0133093	8.7	1877923
tt0137523	8.8	2065449
tt0167260	9.0	1797770
tt0169547	8.4	1139820
tt0208092	8.3	843891
tt0211915	8.3	748669
tt0266697	8.2	1095798
tt0372784	8.2	1443163
tt0405159	8.1	680669
tt0434409	8.2	1107433
tt0468569	9.0	2592094
tt0477348	8.2	952934
tt0816692	8.6	1762464
tt1375666	8.8	2298959
tt1675434	8.5	841097
tt4154756	8.4	1041224
tt4633694	8.4	505916
tt6966692	8.2	473798
tt7286456	8.4	1222963
